HORA_LOG;MOTIVO_NOME;MOTIVO_MATRICULA;VALOR_BRUTO
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
23:27:29;AUSENTE;ZERO_OU_NULO;N: None | M: None
